Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
6_ Our min len JW two sided;1;1;Yes;0.06454730033874512;16;12;2342;3465;0.6759018759018759;20269;12005;729;17;2065;486;486
6_ Our min len JW two sided;1;2;Yes;0.1239328384399414;27;24;4167;6332;0.6580859128237524;33132;12005;729;17;2065;486;486
6_ Our min len JW two sided;1;3;Yes;0.10261344909667969;26;23;4176;6053;0.6899058318189327;30665;12005;729;17;2065;486;486
6_ Our min len JW two sided;2;1;Yes;0.049445152282714844;7;4;1362;2352;0.5790816326530612;18554;12005;729;17;1803;438;510
6_ Our min len JW two sided;2;2;Yes;0.06487703323364258;8;6;1561;2647;0.589724216093691;19989;12005;729;17;1803;438;510
6_ Our min len JW two sided;2;3;Yes;0.047685861587524414;6;4;1216;2235;0.5440715883668904;18866;12005;729;17;1803;438;510
6_ Our min len JW two sided;3;1;Yes;0.036804914474487305;1;0;342;1026;0.3333333333333333;14764;12005;729;17;2322;522;468
6_ Our min len JW two sided;3;2;Yes;0.034384965896606445;1;0;342;1026;0.3333333333333333;14764;12005;729;17;2322;522;468
6_ Our min len JW two sided;3;3;Yes;0.04344749450683594;2;0;549;1232;0.44561688311688313;14761;12005;729;17;2322;522;468
6_ Our min len JW two sided;4;1;Yes;0.041280269622802734;1;0;341;1033;0.33010648596321396;14777;12005;729;17;2309;520;469
6_ Our min len JW two sided;4;2;Yes;0.033895254135131836;1;0;341;1033;0.33010648596321396;14777;12005;729;17;2309;520;469
6_ Our min len JW two sided;4;3;Yes;0.044187307357788086;2;0;550;1241;0.44319097502014504;14774;12005;729;17;2309;520;469
6_ Our min len JW two sided;5;1;Yes;0.03762626647949219;2;1;584;1316;0.44376899696048633;15447;12005;729;17;2157;504;477
6_ Our min len JW two sided;5;2;Yes;0.038248300552368164;1;0;333;1026;0.32456140350877194;14761;12005;729;17;2157;504;477
6_ Our min len JW two sided;5;3;Yes;0.044114112854003906;2;1;584;1316;0.44376899696048633;15447;12005;729;17;2157;504;477
6_ Our min len JW two sided;6;1;Yes;0.05350160598754883;6;3;1262;2005;0.629426433915212;15659;12005;729;17;2270;508;475
6_ Our min len JW two sided;6;2;Yes;0.033468008041381836;1;0;335;1030;0.32524271844660196;14796;12005;729;17;2270;508;475
6_ Our min len JW two sided;6;3;Yes;0.05287909507751465;6;2;1247;1965;0.6346055979643765;15223;12005;729;17;2270;508;475
6_ Our min len JW two sided;7;1;Yes;0.05640816688537598;5;4;1357;2349;0.5776926351638996;19764;12005;729;17;2345;524;467
6_ Our min len JW two sided;7;2;Yes;0.05701780319213867;4;2;887;1699;0.5220718069452619;16429;12005;729;17;2345;524;467
6_ Our min len JW two sided;7;3;Yes;0.03850889205932617;2;1;596;1348;0.4421364985163205;15670;12005;729;17;2345;524;467
6_ Our min len JW two sided;8;1;Yes;0.04084587097167969;3;1;687;1395;0.4924731182795699;15085;12005;729;17;2413;542;458
6_ Our min len JW two sided;8;2;Yes;0.04082345962524414;3;2;692;1411;0.49043231750531535;15243;12005;729;17;2413;542;458
6_ Our min len JW two sided;8;3;Yes;0.045397043228149414;3;2;692;1411;0.49043231750531535;15243;12005;729;17;2413;542;458
6_ Our min len JW two sided;9;1;Yes;0.03931021690368652;1;0;343;1027;0.3339824732229795;14767;12005;729;17;2344;524;467
6_ Our min len JW two sided;9;2;Yes;0.04991579055786133;4;2;850;1629;0.521792510742787;16058;12005;729;17;2344;524;467
6_ Our min len JW two sided;9;3;Yes;0.039288997650146484;1;0;343;1046;0.3279158699808795;14801;12005;729;17;2344;524;467
6_ Our min len JW two sided;10;1;Yes;0.04130053520202637;2;2;545;1389;0.3923686105111591;17038;12005;729;17;2248;508;475
6_ Our min len JW two sided;10;2;Yes;0.0372164249420166;2;1;575;1272;0.4520440251572327;14905;12005;729;17;2248;508;475
6_ Our min len JW two sided;10;3;Yes;0.04448866844177246;1;0;335;1019;0.32875368007850836;14771;12005;729;17;2248;508;475
6_ Our min len JW two sided;11;1;Yes;0.04709362983703613;8;5;1155;1958;0.5898876404494382;16353;12005;729;17;2181;510;474
6_ Our min len JW two sided;11;2;Yes;0.05100822448730469;6;5;1062;1994;0.5325977933801405;17636;12005;729;17;2181;510;474
6_ Our min len JW two sided;11;3;Yes;0.05188584327697754;6;4;1052;1964;0.5356415478615071;17395;12005;729;17;2181;510;474
6_ Our min len JW two sided;12;1;Yes;0.04921293258666992;7;2;1360;2143;0.6346243583761083;16244;12005;729;17;2148;498;480
6_ Our min len JW two sided;12;2;Yes;0.051807403564453125;5;3;1141;2055;0.5552311435523114;18001;12005;729;17;2148;498;480
6_ Our min len JW two sided;12;3;Yes;0.06774759292602539;10;9;1903;3003;0.6336996336996337;20469;12005;729;17;2148;498;480
6_ Our min len JW two sided;13;1;Yes;0.04496622085571289;3;1;772;1478;0.5223274695534507;14846;12005;729;17;2313;520;469
6_ Our min len JW two sided;13;2;Yes;0.04795265197753906;5;2;1233;1961;0.6287608363080062;15315;12005;729;17;2313;520;469
6_ Our min len JW two sided;13;3;Yes;0.18462419509887695;63;62;9585;13274;0.7220882929034202;53422;12005;729;17;2313;520;469
6_ Our min len JW two sided;14;1;Yes;0.1255934238433838;31;28;5462;7121;0.767027102934981;28875;12005;729;17;2222;506;476
6_ Our min len JW two sided;14;2;Yes;0.11495709419250488;34;30;4962;6855;0.7238512035010941;30293;12005;729;17;2222;506;476
6_ Our min len JW two sided;14;3;Yes;0.10855960845947266;32;28;4766;6520;0.7309815950920245;28679;12005;729;17;2222;506;476
6_ Our min len JW two sided;15;1;Yes;0.10366225242614746;21;18;4212;5752;0.7322670375521557;27641;12005;729;17;2319;522;468
6_ Our min len JW two sided;15;2;Yes;0.11951375007629395;19;17;4152;5865;0.7079283887468031;30322;12005;729;17;2319;522;468
6_ Our min len JW two sided;15;3;Yes;0.17940473556518555;50;47;8534;11391;0.7491879554033887;44181;12005;729;17;2319;522;468
6_ Our min len JW two sided;16;1;Yes;0.0420222282409668;6;3;978;1782;0.5488215488215489;16393;12005;729;17;1276;344;557
6_ Our min len JW two sided;16;2;Yes;0.04345393180847168;7;3;1105;1932;0.5719461697722568;16562;12005;729;17;1276;344;557
6_ Our min len JW two sided;16;3;Yes;0.0498654842376709;7;3;1111;1919;0.5789473684210527;16320;12005;729;17;1276;344;557
6_ Our min len JW two sided;17;1;Yes;0.03466653823852539;2;1;399;1140;0.35;15498;12005;729;17;1298;346;556
6_ Our min len JW two sided;17;2;Yes;0.04365849494934082;2;0;387;1085;0.3566820276497696;14789;12005;729;17;1298;346;556
6_ Our min len JW two sided;17;3;Yes;0.04080843925476074;2;0;387;1085;0.3566820276497696;14789;12005;729;17;1298;346;556
6_ Our min len JW two sided;18;1;Yes;0.03876233100891113;4;3;646;1475;0.43796610169491523;16469;12005;729;17;1577;404;527
6_ Our min len JW two sided;18;2;Yes;0.041330814361572266;6;4;840;1667;0.5038992201559688;16602;12005;729;17;1577;404;527
6_ Our min len JW two sided;18;3;Yes;0.04699301719665527;6;4;806;1644;0.4902676399026764;16697;12005;729;17;1577;404;527
6_ Our min len JW two sided;19;1;Yes;0.15169262886047363;37;32;6661;8822;0.7550442076626616;35229;12005;729;17;2335;522;468
6_ Our min len JW two sided;19;2;Yes;0.17105460166931152;47;43;8335;11141;0.7481375100978368;43540;12005;729;17;2335;522;468
6_ Our min len JW two sided;19;3;Yes;0.14091992378234863;32;29;6107;8442;0.7234067756455816;37826;12005;729;17;2335;522;468
6_ Our min len JW two sided;20;1;Yes;0.23210835456848145;57;55;11309;14706;0.7690058479532164;51931;12005;729;17;2459;560;449
6_ Our min len JW two sided;20;2;Yes;0.2834031581878662;73;72;14910;19143;0.7788747845165335;63832;12005;729;17;2459;560;449
6_ Our min len JW two sided;20;3;Yes;0.4495234489440918;127;125;24056;30682;0.7840427612280816;96239;12005;729;17;2459;560;449
6_ Our min len JW two sided;21;1;Yes;0.06091117858886719;8;6;1613;2782;0.5797987059669303;21132;12005;729;17;2113;494;482
6_ Our min len JW two sided;21;2;Yes;0.07363247871398926;8;6;1625;2764;0.5879160636758322;20840;12005;729;17;2113;494;482
6_ Our min len JW two sided;21;3;Yes;0.0500643253326416;5;2;1101;2037;0.540500736377025;18128;12005;729;17;2113;494;482
6_ Our min len JW two sided;22;1;Yes;0.050721168518066406;4;3;950;1815;0.5234159779614325;17548;12005;729;17;1833;440;509
6_ Our min len JW two sided;22;2;Yes;0.04251432418823242;3;2;716;1460;0.4904109589041096;15699;12005;729;17;1833;440;509
6_ Our min len JW two sided;22;3;Yes;0.060964345932006836;4;3;950;1833;0.5182760501909438;17600;12005;729;17;1833;440;509
6_ Our min len JW two sided;23;1;Yes;0.04980802536010742;5;2;1058;1862;0.5682062298603652;16281;12005;729;17;2143;498;480
6_ Our min len JW two sided;23;2;Yes;0.043932199478149414;5;1;1046;1806;0.5791805094130675;15570;12005;729;17;2143;498;480
6_ Our min len JW two sided;23;3;Yes;0.04626965522766113;4;1;891;1630;0.5466257668711656;15473;12005;729;17;2143;498;480
6_ Our min len JW two sided;24;1;Yes;0.0869147777557373;13;12;2911;4394;0.6624943104233045;26665;12005;729;17;2143;500;479
6_ Our min len JW two sided;24;2;Yes;0.08996295928955078;13;13;3113;4818;0.6461187214611872;29947;12005;729;17;2143;500;479
6_ Our min len JW two sided;24;3;Yes;0.07463407516479492;13;12;2810;4214;0.6668248694826768;25238;12005;729;17;2143;500;479
6_ Our min len JW two sided;25;1;Yes;0.04282355308532715;2;1;518;1229;0.42148087876322216;15138;12005;729;17;1839;452;503
6_ Our min len JW two sided;25;2;Yes;0.05020475387573242;5;3;1065;1846;0.5769230769230769;16167;12005;729;17;1839;452;503
6_ Our min len JW two sided;25;3;Yes;0.046288251876831055;3;2;728;1479;0.49222447599729546;15766;12005;729;17;1839;452;503
6_ Our min len JW two sided;26;1;Yes;0.028150081634521484;0;0;81;775;0.10451612903225807;14796;12005;729;17;0;0;729
6_ Our min len JW two sided;26;2;Yes;0.0308077335357666;0;0;81;775;0.10451612903225807;14796;12005;729;17;0;0;729
6_ Our min len JW two sided;26;3;Yes;0.02902078628540039;0;0;81;775;0.10451612903225807;14796;12005;729;17;0;0;729
6_ Our min len JW two sided;27;1;Yes;0.09856891632080078;28;23;3930;5358;0.7334826427771557;24700;12005;729;17;2208;504;477
6_ Our min len JW two sided;27;2;Yes;0.07845401763916016;20;18;3085;4386;0.7033743730050159;23460;12005;729;17;2208;504;477
6_ Our min len JW two sided;27;3;Yes;0.09316134452819824;23;20;3382;4840;0.6987603305785124;25323;12005;729;17;2208;504;477
6_ Our min len JW two sided;28;1;Yes;0.02792525291442871;0;0;81;780;0.10384615384615385;14780;12005;729;17;0;0;729
6_ Our min len JW two sided;28;2;Yes;0.03144073486328125;0;0;81;780;0.10384615384615385;14780;12005;729;17;0;0;729
6_ Our min len JW two sided;28;3;Yes;0.0278017520904541;0;0;81;780;0.10384615384615385;14780;12005;729;17;0;0;729
6_ Our min len JW two sided;29;1;Yes;0.05303668975830078;6;5;1332;2338;0.5697177074422584;19102;12005;729;17;1678;428;515
6_ Our min len JW two sided;29;2;Yes;0.06188392639160156;7;6;1541;2565;0.6007797270955165;19492;12005;729;17;1678;428;515
6_ Our min len JW two sided;29;3;Yes;0.050612688064575195;6;5;1332;2334;0.570694087403599;19099;12005;729;17;1678;428;515
6_ Our min len JW two sided;30;1;Yes;0.04666423797607422;6;4;1083;1966;0.5508646998982706;17317;12005;729;17;2153;506;476
6_ Our min len JW two sided;30;2;Yes;0.0466458797454834;6;4;1083;1964;0.5514256619144603;17315;12005;729;17;2153;506;476
6_ Our min len JW two sided;30;3;Yes;0.05642557144165039;6;4;1083;1966;0.5508646998982706;17317;12005;729;17;2153;506;476
6_ Our min len JW two sided;31;1;Yes;0.04087114334106445;5;5;510;1423;0.3583977512297962;17005;12005;729;17;686;226;616
6_ Our min len JW two sided;31;2;Yes;0.033283233642578125;3;2;357;1147;0.3112467306015693;15718;12005;729;17;686;226;616
6_ Our min len JW two sided;31;3;Yes;0.03673076629638672;3;2;361;1155;0.31255411255411253;15744;12005;729;17;686;226;616
6_ Our min len JW two sided;32;1;Yes;0.04026961326599121;3;1;676;1381;0.4895003620564808;14861;12005;729;17;1948;468;495
6_ Our min len JW two sided;32;2;Yes;0.04242849349975586;4;3;908;1725;0.5263768115942029;16502;12005;729;17;1948;468;495
6_ Our min len JW two sided;32;3;Yes;0.049074649810791016;3;1;676;1381;0.4895003620564808;14861;12005;729;17;1948;468;495
6_ Our min len JW two sided;33;1;Yes;0.042694091796875;4;2;908;1793;0.5064138315672058;17232;12005;729;17;1727;434;512
6_ Our min len JW two sided;33;2;Yes;0.036576032638549805;2;0;489;1173;0.41687979539641945;14746;12005;729;17;1727;434;512
6_ Our min len JW two sided;33;3;Yes;0.051758766174316406;4;2;908;1793;0.5064138315672058;17232;12005;729;17;1727;434;512
6_ Our min len JW two sided;34;1;Yes;0.08151006698608398;18;15;2837;4064;0.6980807086614174;22308;12005;729;17;1730;424;517
6_ Our min len JW two sided;34;2;Yes;0.07350349426269531;17;15;2742;3987;0.6877351392024078;22370;12005;729;17;1730;424;517
6_ Our min len JW two sided;34;3;Yes;0.0763247013092041;18;15;2920;4227;0.6907972557369293;23304;12005;729;17;1730;424;517
6_ Our min len JW two sided;35;1;Yes;0.051048994064331055;4;3;1009;1752;0.5759132420091324;15558;12005;729;17;2196;500;479
6_ Our min len JW two sided;35;2;Yes;0.060633182525634766;9;5;1728;2457;0.7032967032967034;15589;12005;729;17;2196;500;479
6_ Our min len JW two sided;35;3;Yes;0.0549468994140625;9;5;1728;2462;0.7018683996750609;15597;12005;729;17;2196;500;479
