Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
8_ Our min len probabilistic JW two sided;1;1;Yes;0.07960677146911621;8;7;1596;2715;0.5878453038674033;20587;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;2;Yes;0.06607270240783691;11;10;1812;3032;0.5976253298153035;21698;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;3;Yes;0.056926727294921875;5;2;1034;1854;0.5577130528586839;16781;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;4;Yes;0.03725433349609375;2;1;540;1244;0.4340836012861736;15145;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;5;Yes;0.04122114181518555;4;3;679;1453;0.46730901582931866;15972;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;2;1;Yes;0.05586647987365723;9;3;1338;2152;0.6217472118959108;16538;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;2;Yes;0.07934331893920898;14;12;1895;3054;0.620497707924034;21020;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;3;Yes;0.06404709815979004;12;10;1902;3004;0.6331557922769641;20441;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;4;Yes;0.05633687973022461;10;8;1532;2539;0.6033871602993305;18978;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;5;Yes;0.06784915924072266;16;13;2203;3483;0.6325007177720356;22575;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;3;1;Yes;0.0809779167175293;14;13;2600;4094;0.6350757205666829;25973;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;2;Yes;0.09427642822265625;18;17;3199;4761;0.6719176643562277;27429;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;3;Yes;0.043454647064208984;4;2;767;1601;0.4790755777638976;16661;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;4;Yes;0.09461760520935059;19;18;3379;4866;0.6944101931771476;26862;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;5;Yes;0.037667036056518555;3;0;595;1277;0.4659357870007831;14743;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;4;1;Yes;0.0562894344329834;7;5;1636;2712;0.6032448377581121;20150;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;2;Yes;0.07115316390991211;7;6;1734;2963;0.5852176847789403;22473;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;3;Yes;0.09473752975463867;14;13;3159;4992;0.6328125;30296;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;4;Yes;0.050868988037109375;4;2;1014;1900;0.5336842105263158;17695;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;5;Yes;0.08728981018066406;8;4;1814;2783;0.6518145885734818;18912;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;5;1;Yes;0.03902482986450195;6;5;596;1449;0.4113181504485852;16432;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;2;Yes;0.043020009994506836;3;1;439;1109;0.3958521190261497;14791;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;3;Yes;0.08510684967041016;27;27;2955;4683;0.6310057655349135;26524;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;4;Yes;0.10839700698852539;31;30;2914;4636;0.6285591026747196;26275;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;5;Yes;0.06282567977905273;3;0;427;1090;0.39174311926605504;14697;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;6;1;Yes;0.08642935752868652;10;7;1977;3055;0.6471358428805237;20012;12011;729;23;1643;442;508
