Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
6_ Our min len JW two sided;1;1;Yes;0.12288355827331543;29;24;4415;6423;0.6873735014790596;31792;12005;729;17;2065;486;486
6_ Our min len JW two sided;1;2;Yes;0.08769416809082031;20;15;3270;4761;0.6868304977945809;25354;12005;729;17;2065;486;486
6_ Our min len JW two sided;1;3;Yes;0.0746164321899414;17;11;3011;4404;0.6836966394187103;24384;12005;729;17;2065;486;486
6_ Our min len JW two sided;2;1;Yes;0.040445804595947266;4;2;907;1774;0.5112739571589628;17194;12005;729;17;1803;438;510
6_ Our min len JW two sided;2;2;Yes;0.05067253112792969;7;1;1317;2081;0.6328688130706391;15838;12005;729;17;1803;438;510
6_ Our min len JW two sided;2;3;Yes;0.040956974029541016;4;2;900;1742;0.5166475315729047;16891;12005;729;17;1803;438;510
6_ Our min len JW two sided;3;1;Yes;0.032622337341308594;1;1;345;1031;0.33462657613967023;14799;12005;729;17;2322;522;468
6_ Our min len JW two sided;3;2;Yes;0.035692691802978516;1;1;345;1031;0.33462657613967023;14799;12005;729;17;2322;522;468
6_ Our min len JW two sided;3;3;Yes;0.036992788314819336;2;2;557;1247;0.4466720128307939;14893;12005;729;17;2322;522;468
6_ Our min len JW two sided;4;1;Yes;0.038388729095458984;1;1;344;1037;0.3317261330761813;14796;12005;729;17;2309;520;469
6_ Our min len JW two sided;4;2;Yes;0.0332944393157959;1;1;344;1037;0.3317261330761813;14796;12005;729;17;2309;520;469
6_ Our min len JW two sided;4;3;Yes;0.03798985481262207;2;2;558;1254;0.4449760765550239;14874;12005;729;17;2309;520;469
6_ Our min len JW two sided;5;1;Yes;0.03638434410095215;2;1;585;1309;0.44690603514132926;15347;12005;729;17;2157;504;477
6_ Our min len JW two sided;5;2;Yes;0.03298044204711914;1;1;340;1066;0.31894934333958724;15349;12005;729;17;2157;504;477
6_ Our min len JW two sided;5;3;Yes;0.03919339179992676;2;1;585;1309;0.44690603514132926;15347;12005;729;17;2157;504;477
6_ Our min len JW two sided;6;1;Yes;0.07656478881835938;15;14;2675;3792;0.7054324894514767;21077;12005;729;17;2270;508;475
6_ Our min len JW two sided;6;2;Yes;0.04196786880493164;3;3;834;1728;0.4826388888888889;17977;12005;729;17;2270;508;475
6_ Our min len JW two sided;6;3;Yes;0.10716581344604492;24;20;4233;5668;0.7468242766407904;26071;12005;729;17;2270;508;475
6_ Our min len JW two sided;7;1;Yes;0.04652595520019531;4;2;1093;1955;0.5590792838874681;17683;12005;729;17;2345;524;467
6_ Our min len JW two sided;7;2;Yes;0.05172324180603027;6;5;1190;2048;0.5810546875;17036;12005;729;17;2345;524;467
6_ Our min len JW two sided;7;3;Yes;0.04317045211791992;3;2;860;1725;0.4985507246376812;17533;12005;729;17;2345;524;467
6_ Our min len JW two sided;8;1;Yes;0.04051804542541504;3;1;681;1375;0.49527272727272725;14870;12005;729;17;2413;542;458
6_ Our min len JW two sided;8;2;Yes;0.05095982551574707;3;2;686;1391;0.4931703810208483;15028;12005;729;17;2413;542;458
6_ Our min len JW two sided;8;3;Yes;0.03957676887512207;3;2;686;1391;0.4931703810208483;15028;12005;729;17;2413;542;458
6_ Our min len JW two sided;9;1;Yes;0.034081220626831055;1;1;365;1159;0.31492666091458155;16583;12005;729;17;2344;524;467
6_ Our min len JW two sided;9;2;Yes;0.05255007743835449;8;8;1306;2244;0.5819964349376114;18019;12005;729;17;2344;524;467
6_ Our min len JW two sided;9;3;Yes;0.06824064254760742;8;8;1835;3138;0.5847673677501594;23837;12005;729;17;2344;524;467
6_ Our min len JW two sided;10;1;Yes;0.039690256118774414;2;0;507;1197;0.42355889724310775;14755;12005;729;17;2248;508;475
