Heuristic	Sudoku #	Seed	Solution Found	Runtime	# Splits	# Backtracks	# Positive assignments	# Negative assignments	Positive to negative assignments ratio	# Clauses learned	# Clauses at start	# Variables at start	# Initial filled	# Clauses before loop 	# Variables before loop	# Variables assigned before loop
3_ VSIDS	1	1	Yes	2,0078728199	454	442	83342	98966	0,8421275994	285211	12005	729	17	2371	542	458
3_ VSIDS	1	2	Yes	1,9789133072	484	474	86360	102024	0,8464674978	283291	12005	729	17	2371	542	458
3_ VSIDS	1	3	Yes	2,3001031876	542	531	96733	115335	0,8387133134	334800	12005	729	17	2371	542	458
3_ VSIDS	1	4	Yes	2,3251695633	543	532	98842	117710	0,8397077564	335808	12005	729	17	2371	542	458
3_ VSIDS	1	5	Yes	2,2754337788	601	599	103470	121233	0,853480488	321820	12005	729	17	2371	542	458
3_ VSIDS	2	1	Yes	2,1081397533	546	532	93958	110164	0,8528920518	291178	12005	729	17	2489	552	453
3_ VSIDS	2	2	Yes	2,0835027695	551	534	94081	109913	0,8559588038	284381	12005	729	17	2489	552	453
3_ VSIDS	2	3	Yes	2,6671557426	667	654	116090	136986	0,8474588644	368689	12005	729	17	2489	552	453
3_ VSIDS	2	4	Yes	2,4227330685	595	573	105505	124188	0,8495587335	340961	12005	729	17	2489	552	453
3_ VSIDS	2	5	Yes	2,1890511513	588	565	99812	116613	0,8559251541	301322	12005	729	17	2489	552	453
3_ VSIDS	3	1	Yes	1,4900538921	431	418	76779	86831	0,8842348931	191459	12005	729	17	2410	546	456
3_ VSIDS	3	2	Yes	1,6133513451	468	455	84193	95185	0,8845196197	209259	12005	729	17	2410	546	456
3_ VSIDS	3	3	Yes	2,21296978	661	650	111298	127296	0,8743244093	290827	12005	729	17	2410	546	456
3_ VSIDS	3	4	Yes	1,5565793514	453	444	79995	90348	0,885409749	199229	12005	729	17	2410	546	456
3_ VSIDS	3	5	Yes	4,0312964916	1176	1165	207056	235576	0,8789350358	512476	12005	729	17	2410	546	456
3_ VSIDS	4	1	Yes	0,1841518879	23	7	4100	5098	0,8042369557	26625	12005	729	17	2531	564	447
3_ VSIDS	4	2	Yes	0,1800665855	24	8	4223	5221	0,8088488795	26625	12005	729	17	2531	564	447
3_ VSIDS	4	3	Yes	0,1873452663	23	7	4100	5098	0,8042369557	26625	12005	729	17	2531	564	447
3_ VSIDS	4	4	Yes	0,1724784374	23	7	4100	5098	0,8042369557	26625	12005	729	17	2531	564	447
3_ VSIDS	4	5	Yes	0,1800816059	23	7	4100	5098	0,8042369557	26625	12005	729	17	2531	564	447
3_ VSIDS	5	1	Yes	1,0508470535	230	214	44372	52112	0,8514737488	145231	12005	729	17	2489	568	445
3_ VSIDS	5	2	Yes	1,0442192554	231	215	44532	52272	0,8519283747	145231	12005	729	17	2489	568	445
3_ VSIDS	5	3	Yes	1,035551548	232	216	44687	52427	0,8523661472	145231	12005	729	17	2489	568	445
3_ VSIDS	5	4	Yes	2,0793063641	490	481	96345	112049	0,8598470312	287728	12005	729	17	2489	568	445
3_ VSIDS	5	5	Yes	1,4598913193	338	327	61820	73131	0,8453323488	200386	12005	729	17	2489	568	445
3_ VSIDS	6	1	Yes	1,8763010502	531	524	100637	112367	0,8956099211	236752	12005	729	17	2267	524	467
3_ VSIDS	6	2	Yes	1,277659893	392	377	70778	78316	0,9037489147	157691	12005	729	17	2267	524	467
3_ VSIDS	6	3	Yes	1,6015617847	468	459	85516	95914	0,8915903831	203837	12005	729	17	2267	524	467
3_ VSIDS	6	4	Yes	1,5086522102	404	396	78917	88258	0,8941625688	195213	12005	729	17	2267	524	467
3_ VSIDS	6	5	Yes	1,0660722256	312	294	58377	64718	0,9020210761	133522	12005	729	17	2267	524	467
3_ VSIDS	7	1	Yes	1,3689231873	387	380	63305	74327	0,8517093385	191201	12005	729	17	2129	502	478
3_ VSIDS	7	2	Yes	1,0512108803	289	277	47372	55682	0,850759671	143676	12005	729	17	2129	502	478
3_ VSIDS	7	3	Yes	1,7174921036	452	444	76327	90491	0,8434761468	239386	12005	729	17	2129	502	478
3_ VSIDS	7	4	Yes	1,8992028236	469	467	79935	95555	0,8365339333	270480	12005	729	17	2129	502	478
3_ VSIDS	7	5	Yes	2,5935230255	529	523	89327	107295	0,8325364649	299151	12005	729	17	2129	502	478
3_ VSIDS	8	1	Yes	4,7585759163	1144	1133	216433	248310	0,8716241795	593639	12005	729	17	2428	556	451
3_ VSIDS	8	2	Yes	3,7360727787	909	899	176217	199897	0,8815389926	443488	12005	729	17	2428	556	451
