Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
4_ JW two sided;1;1;Yes;30.32636205;12657.33333;12653.33333;1946623.667;2154937;0.903162015;2726272;12005;729;17;2065;486;486
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;6.150580327;2471.666667;2446;369390.6667;428924.3333;0.860717729;762962.6667;12005;729;17;1803;438;510
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;90.15236123;36903;36863.66667;5839466.333;6475455;0.901579458;8529363.333;12005;729;17;2322;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;21.46560144;8734.333333;8673.666667;1397443.333;1541672.333;0.906297618;1944156.667;12005;729;17;2309;520;469
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;48.93437465;19939.66667;19899;3258724;3656497.667;0.891186249;5466129.333;12005;729;17;2157;504;477
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;18.35911393;7052.333333;7013.666667;1144068.333;1282999.333;0.891820807;1861339;12005;729;17;2270;508;475
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;15.19091876;5753.666667;5675.666667;955122.3333;1067995.333;0.897575089;1513760;12005;729;17;2345;524;467
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;137.3818872;55897.33333;55845;9100645.333;10135708.33;0.89792659;13753974.67;12005;729;17;2413;542;458
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;7.906521638;3140.333333;3078.666667;518921.3333;577112.3333;0.906262975;785058.6667;12005;729;17;2344;524;467
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;55.05678352;22764.33333;22753;3621574;4039034;0.89694479;5682719;12005;729;17;2248;508;475
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;12.92500854;5257.333333;5223.666667;867149;974517;0.891410793;1373738;12005;729;17;2181;510;474
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;45.00572189;18998.33333;18958.66667;3014383.667;3399059.667;0.886806722;5125711.333;12005;729;17;2148;498;480
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;78.01335049;33251;33242;5194018;5866156.333;0.885430063;8741363.333;12005;729;17;2313;520;469
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;116.0863155;49030.66667;49017.66667;7750525.333;8725915;0.888176386;12826695.67;12005;729;17;2222;506;476
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;165.3326715;67541.66667;67502.66667;10893905.33;12260514;0.888505604;18062358.33;12005;729;17;2319;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.276356061;125.6666667;90;17002.66667;19168;0.891337485;34298.66667;12005;729;17;1276;344;557
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.378812313;174.6666667;155.3333333;24018.33333;27587.33333;0.868948531;52502.66667;12005;729;17;1298;346;556
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;1.309661865;584;561.3333333;86819.33333;98164.33333;0.885076752;154402.6667;12005;729;17;1577;404;527
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;79.27237662;32507;32485.33333;5237059;5883701.333;0.890068109;8577524.333;12005;729;17;2335;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;156.4012462;64040.33333;63992.66667;10550477.67;11810084.33;0.893350901;16067491;12005;729;17;2459;560;449
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;28.56816665;12132.66667;12104;1909228;2164307.333;0.882293085;3312436.333;12005;729;17;2113;494;482
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;8.321307023;3907.333333;3887.666667;571472;655423;0.871971109;1097464;12005;729;17;1833;440;509
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;55.89789168;24927;24908.66667;3803312.333;4231828.333;0.898610426;5636939.667;12005;729;17;2143;498;480
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;17.86834431;7438.666667;7407.333333;1187279;1349119.333;0.879383589;2139785.667;12005;729;17;2143;500;479
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;20.62663873;9701;9676;1436052.333;1620165.667;0.886644157;2405700;12005;729;17;1839;452;503
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.028050105;0;0;81;775;0.104516129;14796;12005;729;17;0;0;729
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;16.40983184;6787.333333;6763;1095044.667;1233983.333;0.888566982;1783879;12005;729;17;2208;504;477
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.028944969;0;0;81;780;0.103846154;14780;12005;729;17;0;0;729
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;4.654220819;2270.666667;2246;328179.3333;371031.6667;0.883968929;562230.3333;12005;729;17;1678;428;515
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;28.12248023;11920;11901.33333;1919800.667;2157092.667;0.89004436;3017214.333;12005;729;17;2153;506;476
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.092266242;45.66666667;42.66666667;4819.666667;6289.666667;0.764647524;24530.33333;12005;729;17;686;226;616
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
