Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop;
1_ Random;1;1;Yes;0.883167553;576.6;566.8;102819.2;128288.4;0.800905683;348294.2;12005;729;17;2371;542;458;#DEEL/0!
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.630662632;328;322.8;57785.4;71262.4;0.810063144;187463.8;12005;729;17;2489;552;453;#DEEL/0!
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.792752504;526.6;520.2;97785.4;121931.8;0.801480607;335813.6;12005;729;17;2410;546;456;#DEEL/0!
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;1.018047428;639.2;632.6;128166.4;156498;0.818967513;407153.2;12005;729;17;2531;564;447;#DEEL/0!
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;1.314653778;812.8;806;159981.4;194637.6;0.821896794;480414.6;12005;729;17;2489;568;445;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;1.295323372;867.4;860;157326.2;187220;0.842988082;423202.8;12005;729;17;2267;524;467;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.7447896;423.8;418.6;77122;97373.8;0.78798986;276286.8;12005;729;17;2129;502;478;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;1.588415003;962.2;956;194511.2;235424.6;0.825800549;580795.6;12005;729;17;2428;556;451;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.680949593;418.8;413.6;79004.8;99796.4;0.787735786;285189.4;12005;729;17;2130;502;478;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.787479305;441.6;434.6;89564.8;109800.6;0.805473813;288941.4;12005;729;17;2459;560;449;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.315528822;211.2;207;34708.2;44026.2;0.787767225;130023.8;12005;729;17;1915;458;500;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.080659151;36.2;31.8;5834.8;7847.2;0.722740666;32304.8;12013;729;25;1589;416;521;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.420406103;258;250.8;46592;59386.8;0.772602319;173129.6;12009;729;21;1879;478;490;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.625212765;358.6;354;70021.2;86027;0.776781366;227885.2;12005;729;17;2364;540;459;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.197096109;111.2;108.2;18946.4;24383.6;0.703903837;76425.4;12005;729;17;1986;482;488;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.184998798;113.4;106.6;19337;24596.8;0.769595171;75126.6;12005;729;17;1919;458;500;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.12676034;105.8;102.4;11802.8;16136.2;0.725633139;56833;12010;729;22;1678;434;512;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.419079733;255.6;252.4;48064.4;59162.2;0.807268214;159372.6;12005;729;17;2224;518;470;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.147236538;83.8;78.4;13025;17112.8;0.753934597;60185.8;12011;729;23;1727;416;521;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.170010471;100.4;97.4;16499.6;21854.8;0.750803676;72727;12013;729;25;1520;418;520;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.73956542;409;401.8;83696.2;103333.4;0.811624486;286430.6;12005;729;17;2458;552;453;
;;;;;;;;;;;;;;;;;
