Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
5, Our min len JW one sided;1;1;Yes;0.464397049;214.8;208.4;29768;38250;0.777603771;113476.6;12005;729;17;2371;542;458
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.430594635;199.4;192.2;27966.2;35247.6;0.793146012;98399.8;12005;729;17;2489;552;453
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.443651915;196;191.8;28771;36899;0.780082824;112313.2;12005;729;17;2410;546;456
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.065928316;10.8;3.6;2396.6;3226.2;0.743099845;16585.2;12005;729;17;2531;564;447
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.124087143;32.4;27.8;5866.6;7931.2;0.718889758;33199;12005;729;17;2489;568;445
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.745213413;279.4;275.6;47540.8;58089.6;0.818600918;153800.2;12005;729;17;2267;524;467
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.083204746;21.2;13.2;3840.2;5202;0.73905076;23654;12005;729;17;2129;502;478
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.101357794;20.2;17;4339.4;5830.6;0.740921102;26045.6;12005;729;17;2428;556;451
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.056974983;8.6;0.8;1853.8;2566;0.720652205;15237;12005;729;17;2130;502;478
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.108981085;26;22.4;5248.4;6944;0.73581396;28431.2;12005;729;17;2459;560;449
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.201375294;80;75.8;11936;16316.6;0.731614452;63974.6;12005;729;17;1915;458;500
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.151967478;54.6;49.8;8487.8;11999;0.707269094;50511;12013;729;25;1589;416;521
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.062411833;13.2;10.8;2229;3409.2;0.652504656;20778.6;12009;729;21;1879;478;490
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.18298645;50.8;48.8;9343;12835.4;0.713121946;53387.2;12005;729;17;2364;540;459
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.117175579;40.2;36;5910.6;8226;0.713363885;35192.8;12005;729;17;1986;482;488
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.146668577;44.4;42;7588.6;10636.4;0.71360165;46962;12005;729;17;1919;458;500
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.186368656;82.4;78.4;10560;14887.4;0.70960776;58263.6;12010;729;22;1678;434;512
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.194049025;64.2;58.6;10887.8;14059.2;0.768419316;48983;12005;729;17;2224;518;470
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.080427361;19.8;15;3213;4818.4;0.662103015;27147.4;12011;729;23;1727;416;521
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.086619902;21.8;19.4;3901.4;5853.6;0.661095965;30416.6;12013;729;25;1520;418;520
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.068772316;10.4;4.6;2387;3328.4;0.703474362;18298.6;12005;729;17;2458;552;453
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.072602034;20.8;18;2649.8;4077.2;0.56934866;23722.6;12012;729;24;1506;398;530
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.088004208;30;23;4288.6;5721.8;0.743530616;24031.4;12005;729;17;1772;448;505
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.255225754;107.6;104.8;16126.8;21142.8;0.763082277;70670;12011;729;23;1759;446;506
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.078802776;27.8;27.6;3421.8;5414.8;0.614781444;29942.2;12011;729;23;1332;356;551
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.117771578;38.2;34.6;5679.6;7564.4;0.746853534;31105.8;12005;729;17;2443;534;462
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.148266792;60.2;55.6;8381.2;11193.4;0.747239129;41072.8;12005;729;17;1971;478;490
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.120580673;36;33.2;5845;8440.6;0.690412748;40407.4;12005;729;17;1831;446;506
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.070362282;15.8;14;2589.8;4005.2;0.569469921;23985.4;12010;729;22;1698;430;514
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.289430571;100.8;100;15952.8;22504.8;0.708944168;90266.2;12005;729;17;2081;486;486
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.096757841;25;20.2;4392;6310.4;0.694826022;30420.4;12009;729;21;1786;448;505
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.167999935;71.2;69;10232.4;13697.8;0.747345157;49440;12012;729;24;1447;402;528
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
